"NAICS","Illustrative Examples"
"11119","Barley farming"
"11119","Rye farming"
"11119","Milo farming"
"11119","Sorghum farming"
"11119","Oat farming"
"11119","Wild rice farming"
"11119","Oilseed and grain combination farming"
"111199","Barley farming"
"111199","Sorghum farming"
"111199","Oat farming"
"111199","Wild rice farming"
"111199","Rye farming"
"111219","Carrot farming"
"111219","Squash farming"
"111219","Green bean farming"
"111219","Tomato farming"
"111219","Melon farming (e.g., cantaloupe, casaba, honeydew, watermelon)"
"111219","Vegetable (except potato) farming"
"111219","Pepper farming (e.g., bell, chili, green, red, sweet peppers)"
"111219","Watermelon farming"
"111320","Grapefruit groves"
"111320","Lemon groves"
"111320","Mandarin groves"
"111320","Tangelo groves"
"111320","Tangerine groves"
"111320","Citrus groves (except oranges)"
"111334","Blackberry farming"
"111334","Blueberry farming"
"111334","Cranberry farming"
"111334","Currant farming"
"111334","Raspberry farming"
"111334","Berry (except strawberries) farming"
"111335","Almond farming"
"111335","Filbert farming"
"111335","Macadamia farming"
"111335","Pecan farming"
"111335","Pistachio farming"
"111335","Tree nut farming"
"111335","Walnut farming"
"111339","Apricot farming"
"111339","Banana farming"
"111339","Cherry farming"
"111339","Coffee farming"
"111339","Date farming"
"111339","Fig farming"
"111339","Noncitrus fruit farming"
"111339","Peach farming"
"111339","Pineapple farming"
"111339","Prune farming"
"111419","Alfalfa sprout farming, grown under cover"
"111419","Fruit farming, grown under cover"
"111419","Hydroponic crop farming"
"111419","Melon farming, grown under cover"
"111419","Vegetable farming, grown under cover"
"11199","Agave farming"
"11199","Grass seed farming"
"11199","Hay seed farming"
"11199","Maple sap gathering"
"11199","Peanut farming"
"11199","Spice farming"
"11199","Sugar beet farming"
"11199","Tea farming"
"11199","General combination crop farming (except oilseed and grain; vegetables and melons; fruit and nut combinations)"
"111998","Agave farming"
"111998","Grass seed farming"
"111998","Hay seed farming"
"111998","Hop farming"
"111998","Mint farming"
"111998","Spice farming"
"111998","General combination crop farming (except oilseed and grain; vegetables and melons; fruit and tree nut"
"111998","combinations)"
