"NAICS","NAICS Index Item","Source","Revision"
"111110","Soybean farming, field and seed production","NAICS MANUAL",""
"111120","Canola farming, field and seed production","NAICS MANUAL",""
"111120","Flaxseed farming, field and seed production","NAICS MANUAL",""
"111120","Mustard seed farming, field and seed production","NAICS MANUAL",""
"111120","Oilseed farming (except soybean), field and seed production","NAICS MANUAL",""
"111120","Rapeseed farming, field and seed production","NAICS MANUAL",""
"111120","Safflower farming, field and seed production","NAICS MANUAL",""
"111120","Sesame farming, field and seed production","NAICS MANUAL",""
"111120","Sunflower farming, field and seed production","NAICS MANUAL",""
"111130","Bean farming, dry, field and seed production","NAICS MANUAL",""
"111130","Cowpea farming, dry, field and seed production","NAICS MANUAL",""
"111130","Garbanzo farming, dry, field and seed production","NAICS MANUAL",""
"111130","Lentil farming, dry, field and seed production","NAICS MANUAL",""
"111130","Lima bean farming, dry, field and seed production","NAICS MANUAL",""
"111130","Pea farming, dry, field and seed production","NAICS MANUAL",""
"111140","Wheat farming, field and seed production","NAICS MANUAL",""
"111150","Corn farming (except sweet corn), field and seed production","NAICS MANUAL",""
"111150","Popcorn farming, field and seed production","NAICS MANUAL",""
"111160","Rice (except wild rice) farming, field and seed production","NAICS MANUAL",""
"111191","Oilseed and grain combination farming, field and seed production","NAICS MANUAL",""
"111199","Barley farming, field and seed production","NAICS MANUAL",""
"111199","Broomcorn farming","NAICS MANUAL",""
"111199","Buckwheat farming","NAICS MANUAL",""
"111199","Milo farming, field and seed production","NAICS MANUAL",""
"111199","Oat farming, field and seed production","NAICS MANUAL",""
"111199","Rye farming, field and seed production","NAICS MANUAL",""
"111199","Sorghum farming, field and seed production","NAICS MANUAL",""
"111199","Wild rice farming, field and seed production","NAICS MANUAL",""
"111211","Potato farming, field and seed potato production","NAICS MANUAL",""
"111211","Sweet potato farming, field and seed potato production","NAICS MANUAL",""
"111211","Vegetable and melon farming, potato dominant crop, field and seed production","NAICS MANUAL",""
"111211","Vegetable and potato farming, potato dominant crop, field and seed potato production","NAICS MANUAL",""
"111211","Yam farming, field and seed production","NAICS MANUAL",""
"111219","Acorn squash farming, field, bedding plant and seed production","NAICS MANUAL",""
"111219","Artichoke farming, field, bedding plant and seed production","NAICS MANUAL",""
"111219","Asparagus farming, field, bedding plant and seed production","NAICS MANUAL",""
"111219","Bean (except dry) farming, field and seed production","NAICS MANUAL",""
"111219","Beet farming (except sugar beets), field, bedding plant and seed production","NAICS MANUAL",""
"111219","Broccoli farming, field, bedding plant and seed production","NAICS MANUAL",""
"111219","Brussel sprout farming, field, bedding plant and seed production","NAICS MANUAL",""
"111219","Butternut squash farming, field, bedding plant and seed production","NAICS MANUAL",""
"111219","Cabbage farming, field, bedding plant and seed production","NAICS MANUAL",""
"111219","Cantaloupe farming, field, bedding plant and seed production","NAICS MANUAL",""
"111219","Carrot farming, field, bedding plant and seed production","NAICS MANUAL",""
"111219","Casaba melon farming, field, bedding plant and seed production","NAICS MANUAL",""
"111219","Cassava farming, field and seed production","2017 ADD",""
