"stfips","codetype","code","codetitle"
"00","10","000000","Total, All Industries"
"00","10","10","Total, All Industries"
"00","10","101","Goods-Producing"
"00","10","1011","Natural Resources and Mining"
"00","10","1012","Construction"
"00","10","1013","Manufacturing"
"00","10","102","Service-Providing"
"00","10","1021","Trade, Transportation and Utilities"
"00","10","1022","Information"
"00","10","1023","Financial Activities"
"00","10","1024","Professional and Business Services"
"00","10","1025","Education and Health Services"
"00","10","1026","Leisure and Hospitality"
"00","10","1027","Other Services"
"00","10","1028","Public Administration"
"00","10","1029","Unclassified"
"00","10","11","Agriculture, Forestry, Fishing & Hunting"
"00","10","111","Crop Production"
"00","10","1111","Oilseed and Grain Farming"
"00","10","11111","Soybean Farming"
"00","10","111110","Soybean Farming"
"00","10","11112","Oilseed (except Soybean) Farming"
"00","10","111120","Oilseed (except Soybean) Farming"
"00","10","11113","Dry Pea and Bean Farming"
"00","10","111130","Dry Pea and Bean Farming"
"00","10","11114","Wheat Farming"
"00","10","111140","Wheat Farming"
"00","10","11115","Corn Farming"
"00","10","111150","Corn Farming"
"00","10","11116","Rice Farming"
"00","10","111160","Rice Farming"
"00","10","11119","Other Grain Farming"
"00","10","111191","Oilseed and Grain Combination Farming"
"00","10","111199","All Other Grain Farming"
"00","10","1112","Vegetable and Melon Farming"
"00","10","11121","Vegetable and Melon Farming"
"00","10","111211","Potato Farming"
"00","10","111219","Other Vegetable and Melon Farming"
"00","10","1113","Fruit and Tree Nut Farming"
"00","10","11131","Orange Groves"
"00","10","111310","Orange Groves"
"00","10","11132","Citrus (except Orange) Groves"
"00","10","111320","Citrus (except Orange) Groves"
"00","10","11133","Noncitrus Fruit and Tree Nut Farming"
"00","10","111331","Apple Orchards"
"00","10","111332","Grape Vineyards"
"00","10","111333","Strawberry Farming"
"00","10","111334","Berry (except Strawberry) Farming"
"00","10","111335","Tree Nut Farming"
"00","10","111336","Fruit and Tree Nut Combination Farming"
"00","10","111339","Other Noncitrus Fruit Farming"
"00","10","1114","Greenhouse and Nursery Production"
"00","10","11141","Food Crops Grown Under Cover"
"00","10","111411","Mushroom Production"
"00","10","111419","Other Food Crops Grown Under Cover"
"00","10","11142","Nursery and Floriculture Production"
"00","10","111421","Nursery and Tree Production"
"00","10","111422","Floriculture Production"
"00","10","1119","Other Crop Farming"
"00","10","11191","Tobacco Farming"
"00","10","111910","Tobacco Farming"
"00","10","11192","Cotton Farming"
"00","10","111920","Cotton Farming"
"00","10","11193","Sugarcane Farming"
"00","10","111930","Sugarcane Farming"
"00","10","11194","Hay Farming"
"00","10","111940","Hay Farming"
"00","10","11199","All Other Crop Farming"
"00","10","111991","Sugar Beet Farming"
"00","10","111992","Peanut Farming"
"00","10","111998","All Other Miscellaneous Crop Farming"
"00","10","112","Animal Production"
"00","10","1121","Cattle Ranching and Farming"
"00","10","11211","Beef Cattle Ranching, Farming, Feedlots"
"00","10","112111","Beef Cattle Ranching and Farming"
"00","10","112112","Cattle Feedlots"
"00","10","11212","Dairy Cattle and Milk Production"
"00","10","112120","Dairy Cattle and Milk Production"
"00","10","11213","Dual Purpose Cattle Ranching and Farming"
"00","10","112130","Dual Purpose Cattle Ranching and Farming"
"00","10","1122","Hog and Pig Farming"
"00","10","11221","Hog and Pig Farming"
"00","10","112210","Hog and Pig Farming"
"00","10","1123","Poultry and Egg Production"
"00","10","11231","Chicken Egg Production"
"00","10","112310","Chicken Egg Production"
"00","10","11232","Broiler and Meat Type Chicken Production"
"00","10","112320","Broiler and Meat Type Chicken Production"
"00","10","11233","Turkey Production"
"00","10","112330","Turkey Production"
"00","10","11234","Poultry Hatcheries"
"00","10","112340","Poultry Hatcheries"
"00","10","11239","Other Poultry Production"
"00","10","112390","Other Poultry Production"
"00","10","1124","Sheep and Goat Farming"
"00","10","11241","Sheep Farming"
"00","10","112410","Sheep Farming"
"00","10","11242","Goat Farming"
"00","10","112420","Goat Farming"
"00","10","1125","Animal Aquaculture"
"00","10","11251","Animal Aquaculture"
"00","10","112511","Finfish Farming and Fish Hatcheries"
"00","10","112512","Shellfish Farming"
"00","10","112519","Other Animal Aquaculture"
"00","10","1129","Other Animal Production"
"00","10","11291","Apiculture"
"00","10","112910","Apiculture"
"00","10","11292","Horse and Other Equine Production"
"00","10","112920","Horse and Other Equine Production"
"00","10","11293","Fur-Bearing Animal and Rabbit Production"
